sales_price,price_tier,year,vehicle_age,make,model,trim,odometer_miles,fuel_type,exterior,interior,dealer_state,dealer_distance_miles,source_metro,feature_count,standard_feature_count
6000.0,below_market,2012,14,Chrysler,200,Limited Sedan,108237,Gas,Bright White,Black,MI,620.0,detroit_mi,0,0
8499.0,below_market,2016,10,Chrysler,200,Limited FWD,92388,Gas,Granite Crystal Metallic Clearcoat,Black,IL,875.0,chicago_il,0,0
2495.0,,2016,10,Chrysler,200,Limited FWD,132648,Gas,Velvet Red Pearlcoat,Black,MI,604.0,detroit_mi,0,0
11899.0,near_market,2016,10,Chrysler,200,S FWD,71266,Gas,Velvet Red Pearlcoat,Black,MI,605.0,detroit_mi,0,0
14787.0,below_market,2015,11,Chrysler,200,S AWD,28037,Gas,Velvet Red Pearlcoat,Black,MA,25.0,boston_ma,0,0
12898.0,below_market,2015,11,Chrysler,200,C AWD,57074,Gas,Bright White Clearcoat,Black,MI,576.0,detroit_mi,0,0
6499.0,below_market,2013,13,Dodge,Dart,Aero,86614,Gas,True Blue Pearl,Black,MA,35.0,boston_ma,0,0
6799.0,below_market,2015,11,Dodge,Dart,SXT,117655,Gas,Bright White Clearcoat,Black,OH,646.0,detroit_mi,0,0
10995.0,below_market,2016,10,Dodge,Dart,Aero,22909,Gas,Laser Blue Pearlcoat,Black,WA,2474.0,seattle_wa,0,0
2550.0,below_market,2004,22,Chrysler,Sebring,LX Convertible,230286,Gas,Tan,Black,IL,860.0,chicago_il,0,0
16800.0,below_market,2017,9,Jeep,Wrangler,Sport,52532,Gas,Black Clearcoat,Black,OH,647.0,detroit_mi,0,0
20999.0,near_market,2017,9,Jeep,Wrangler,Sport,62590,Gas,Black Clearcoat,Black,TX,1679.0,austin_tx,0,0
12991.0,below_market,2012,14,Jeep,Wrangler,Sport 4WD,85115,Gas,Bright Silver Metallic,Black Interior,WA,2475.0,seattle_wa,0,0
12750.0,below_market,2013,13,Jeep,Wrangler,Sport,111251,Gas,Billet Silver Metallic,Black Interior,TX,1691.0,austin_tx,0,0
14979.0,below_market,2014,12,Jeep,Wrangler,Sport,98830,Gas,Silver,Black,MI,605.0,detroit_mi,0,0
12995.0,below_market,2012,14,Jeep,Wrangler,Freedom Edition 4WD,77572,Gas,Deep Cherry Red Crystal Pearl,Black Interior,IL,857.0,chicago_il,0,0
13997.0,near_market,2013,13,Jeep,Wrangler,Sport,80006,Gas,Billet Silver Metallic,Black Interior,MA,23.0,boston_ma,0,0
